Function,Encoding,Crossover,Population,Generations,Mutation_Rate,Crossover_Rate,Best_Fitness,Best_Solution,Seed
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-3.19499488502774e-16, -3.6372673223469217e-17]",995450501
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-1.1335805858887525e-16, 1.8670495373287437e-16]",995451829
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[6.244688183439805e-17, -2.4114225345328614e-16]",995453106
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-2.9446828676230397e-16, 1.613461246558226e-16]",995454407
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-5.377035287517083e-17, 2.902420611440114e-16]",995455731
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[1.8802194373128476e-16, -3.2362771255599346e-16]",995457076
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[3.6011139476323306e-16, -8.16238154466231e-18]",995458360
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[9.696840933620428e-17, -3.2314140732544333e-16]",995459668
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[3.2833748948689685e-16, 2.086935044171162e-17]",995461691
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-4.931339822350623e-17, -3.6079731067109616e-16]",995463010
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[9.507262707643386e-17, -2.5347292210600857e-17]",995464363
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[3.354233602081761e-16, 4.145905986890222e-17]",995465712
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-2.1427210625706784e-16, 1.2795755024685396e-16]",995467022
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-4.092204923927018e-18, -6.004332909616802e-17]",995468312
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[2.5167898284293752e-17, 1.620101198326278e-16]",995469662
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[1.1283476769447968e-17, 3.353485254140625e-16]",995470965
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-3.2576649796162287e-16, -2.0409416529692623e-16]",995472297
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-3.533106403200733e-16, 7.017916448736115e-17]",995473724
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[1.0804589808519418e-16, 2.862837772276305e-16]",995475256
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-3.187461854905794e-16, -1.549543187344611e-16]",995476845
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-1.9303659297758103e-16, 1.3385155857157417e-17]",995478199
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[2.6313853442519102e-17, 1.436464065098369e-16]",995479525
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[2.7894728097054506e-16, -6.32175023795531e-17]",995480883
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[1.3734057161649169e-16, 1.8987499738657152e-16]",995482207
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[1.53325985241238e-16, -1.8158333547810678e-16]",995483591
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-5.03499931742987e-17, 5.724373826023298e-17]",995484917
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-2.297031736084211e-16, -1.2164927211266421e-16]",995486312
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-9.437714722105039e-17, 3.106689875105776e-16]",995487721
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-2.8331624971926336e-16, -2.5332940387365397e-16]",995489151
Ackley,real,blx-alpha,500,100,0.05,0.8,4.440892098500626e-16,"[-2.704951044097696e-16, 1.0859551094909497e-16]",995491139
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",997965976
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",997968994
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",997972126
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, -0.000457770656900891)",997975132
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, 0.00015259021896696368)",997978172
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(0.000457770656900891, -0.00015259021896696368)",997981130
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(-0.00015259021896696368, -0.000457770656900891)",997984266
Ackley,binary,2-point,500,100,0.05,0.8,0.0025376625530104,"(-0.0007629510948348184, 0.000457770656900891)",997987595
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",997991101
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, -0.000457770656900891)",997994306
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",997997637
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",998001292
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",998004463
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, -0.000457770656900891)",998007622
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",998010792
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",998014003
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(-0.000457770656900891, -0.00015259021896696368)",998017448
Ackley,binary,2-point,500,100,0.05,0.8,0.0022168075915236,"(-0.0007629510948348184, 0.00015259021896696368)",998020692
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(-0.00015259021896696368, 0.000457770656900891)",998023816
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",998026955
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(-0.00015259021896696368, -0.000457770656900891)",998030134
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, 0.00015259021896696368)",998033495
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",998036628
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",998039806
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, 0.00015259021896696368)",998042904
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, -0.000457770656900891)",998046221
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",998049507
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",998052714
Ackley,binary,2-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, 0.00015259021896696368)",998055984
Ackley,binary,2-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, 0.000457770656900891)",998059359
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999511913
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",999515107
